subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C010,fl,R,113,38.757565,10.378752,39.078771,-3.451292,1278.805310,91.676241
sub-C011,fl,R,113,38.755875,5.547654,38.638803,2.154019,1322.769912,110.094603
sub-C012,fl,R,115,39.437950,6.992361,44.024587,-9.717312,1353.052174,133.407491
sub-C013,fl,R,118,40.473999,7.629041,39.256650,3.368996,1382.180902,103.530799
sub-C014,fl,R,175,60.024998,3.808663,40.508258,2.357966,1388.422923,158.228941
sub-C015,fl,R,140,48.019997,5.652971,41.570834,-4.953384,1271.800970,141.594325
sub-C016,fl,R,87,29.840998,1.159966,32.232229,-41.367367,1320.320407,74.092056
sub-C017,fl,R,103,35.328999,8.142649,41.455811,-5.837335,1335.880641,138.025551
sub-C018,fl,R,157,53.850998,8.334261,44.336808,0.500660,1293.533628,101.799765
sub-C019,fl,R,143,49.049000,7.752021,43.218179,-16.395472,1363.486661,187.775824
sub-C020,fl,R,157,53.850998,10.850067,39.109235,-5.789753,1301.294749,215.884927
sub-C021,fl,R,151,51.792999,4.180169,40.717158,-23.744227,1297.443063,129.322688
sub-C022,fl,R,137,46.990997,5.073782,34.242515,-19.290219,1260.892842,113.694243
sub-C023,fl,R,130,44.590000,3.031797,40.172191,-17.542881,1325.987367,98.902864
sub-C024,fl,R,116,39.787998,7.115100,31.306546,5.508164,1320.718512,119.315442
sub-C025,fl,R,129,44.246998,4.444895,42.621053,-14.662101,1295.992598,144.549624
sub-C026,fl,R,137,46.990997,8.751701,40.335654,2.079205,1315.556787,126.556362
sub-C027,fl,R,109,37.386997,7.735956,42.436329,-7.858658,1293.591543,149.645826
sub-C028,fl,R,137,46.985161,7.275352,48.397648,-3.364475,1285.583942,109.881195
sub-C029,fl,R,124,42.531994,8.024684,39.742906,-7.765779,1290.272208,146.410038
sub-C030,fl,R,103,35.325378,3.472991,46.299533,-5.259874,1323.446602,145.020399
sub-C031,fl,R,99,33.956997,9.464632,32.955225,-10.660423,1348.378181,88.674039
sub-C032,fl,R,104,35.671997,2.721224,32.724254,-3.098309,1131.231579,107.513299
sub-C001,ft,L,187,64.133026,-3.918937,37.286317,14.524445,1355.235294,102.812222
sub-C002,ft,L,213,73.046738,-4.933208,34.713577,11.282679,1418.929577,114.724361
sub-C003,ft,L,241,82.655426,-4.008560,42.939244,-7.420526,1283.215768,95.107281
sub-C004,ft,L,193,66.189323,-4.031646,39.319163,27.878455,1388.113990,78.633296
sub-C005,ft,L,160,54.870789,-5.911839,34.458480,-1.615307,1359.193750,141.965781
sub-C006,ft,L,177,60.704781,-9.582991,44.924703,-0.240674,1383.440678,96.629377
sub-C007,ft,L,200,68.592224,-3.913917,44.363945,2.467308,1278.970000,97.764352
sub-C008,ft,L,169,57.956005,-8.093477,46.346950,-8.187150,1373.704142,104.685220
sub-C009,ft,L,200,68.590729,-7.073596,39.288494,2.900642,1343.930000,106.762758
sub-C010,ft,L,171,58.650822,-3.284791,33.251364,-0.283819,1288.046784,98.910584
sub-C011,ft,L,183,62.763931,-7.214632,33.535048,4.616110,1320.426230,115.019558
sub-C012,ft,L,194,66.530106,-6.146745,40.034533,-8.639962,1301.572165,88.365043
sub-C013,ft,L,188,64.483994,-6.273171,34.934714,6.857528,1418.894413,142.872548
sub-C014,ft,L,271,92.952995,-10.975873,37.034016,5.550961,1369.670423,119.739635
sub-C015,ft,L,207,71.000992,-7.905114,39.611480,-1.766203,1244.949758,146.994600
sub-C016,ft,L,127,43.561001,-8.165605,29.015464,-38.654668,1374.073070,96.790437
sub-C017,ft,L,179,61.396999,-4.875485,37.342377,-4.933326,1397.561357,160.133028
sub-C018,ft,L,230,78.889999,-5.372396,39.805649,3.161612,1325.500188,115.758444
sub-C019,ft,L,229,78.546997,-8.107763,39.074043,-15.048441,1332.025678,157.496670
sub-C020,ft,L,218,74.773994,-3.438655,34.423027,-1.912936,1279.396443,149.475121
sub-C021,ft,L,242,83.005997,-10.964658,36.913950,-22.314235,1253.778179,130.420220
sub-C022,ft,L,233,79.918991,-9.711296,29.934986,-16.457986,1262.069073,115.036081
sub-C023,ft,L,195,66.884995,-10.539485,35.163025,-16.191073,1355.963256,121.733898
sub-C024,ft,L,199,68.257004,-8.651335,29.340283,7.325929,1286.911665,111.475267
sub-C025,ft,L,228,78.203995,-11.837830,37.902515,-12.226363,1311.055993,167.384970
sub-C026,ft,L,202,69.285995,-5.069851,34.284605,3.864563,1299.926227,75.991372
sub-C027,ft,L,185,63.455002,-7.179975,37.892628,-4.929834,1313.503904,145.458924
sub-C028,ft,L,210,72.021049,-8.960184,43.578902,-0.929637,1314.590476,115.390180
sub-C029,ft,L,212,72.715996,-9.390940,35.609322,-5.454781,1301.039805,150.721988
sub-C030,ft,L,168,57.618095,-11.374427,42.277562,-3.677485,1299.059524,122.300587
sub-C031,ft,L,187,64.140999,-3.940758,29.639895,-7.870187,1364.295759,133.870588
sub-C032,ft,L,176,60.367996,-11.756246,29.894445,-0.981692,1167.018199,173.416510
sub-C001,ft,R,173,59.331623,9.322628,37.979691,14.063308,1342.450867,95.829695
sub-C002,ft,R,207,70.989075,8.506176,34.547339,10.673412,1397.632850,99.118692
sub-C003,ft,R,250,85.742149,10.471796,44.610848,-7.709195,1237.064000,69.156507
sub-C004,ft,R,205,70.304726,10.285238,40.726278,27.931433,1378.356098,69.904171
sub-C005,ft,R,162,55.556671,7.785902,36.798967,-2.308578,1280.716049,87.217189
sub-C006,ft,R,171,58.646988,4.274222,45.325523,0.282961,1393.087719,97.587658
sub-C007,ft,R,196,67.220375,9.214813,43.862845,1.986937,1249.811224,82.666646
sub-C008,ft,R,162,55.555462,7.723065,46.703825,-8.786954,1327.327160,91.194069
sub-C009,ft,R,194,66.533005,7.861814,38.924545,3.579883,1342.902062,104.434702
sub-C010,ft,R,177,60.708752,11.802139,35.679569,-1.431225,1259.774011,69.485159
sub-C011,ft,R,185,63.449883,6.981934,35.704214,4.497749,1246.654054,74.871987
sub-C012,ft,R,188,64.472473,8.104437,40.776156,-7.761572,1300.244681,83.374702
